pk,pk,strength
1018860,1020167,3592
1059028,1020167,3712
1018695,1020215,151
1018695,1020215,2741
1018732,1020215,151
1018732,1020215,2161
1018732,1020215,2741
1018977,1020215,2161
1018977,1020215,2741
1018980,1020215,151
1018980,1020215,2161
1018980,1020215,2741
1019016,1020215,2161
1019016,1020215,2741
1019120,1020215,151
1019120,1020215,2161
1019120,1020215,2741
1019183,1020215,151
1019183,1020215,2161
1019183,1020215,2741
1019334,1020215,151
1019334,1020215,2741
1019541,1020215,151
1019541,1020215,2161
1019541,1020215,2741
1019847,1020215,2253
1020585,1020215,2161
1020627,1020215,2741
1020717,1020215,2161
1020960,1020215,151
1020960,1020215,2161
1020960,1020215,2741
1038768,1020215,2161
1038768,1020215,2741
1042028,1020215,2161
1042028,1020215,2892
1042098,1020215,151
1042098,1020215,2741
1047817,1020215,151
1047817,1020215,2161
1047817,1020215,2741
1064235,1020215,151
1064235,1020215,2741
1020844,1020246,365
1097529,1020246,365
1097529,1020246,6818
1020130,1020304,4565
1020041,1020329,4230
1020585,1020329,2953
1020627,1020329,1643
1019675,1020336,1400
1018688,1020356,10897
1018822,1020356,10897
1019395,1020356,10897
1020820,1020356,10897
1021266,1020356,10897
1018973,1020383,578
1018973,1020383,10196
1018977,1020383,578
1018980,1020383,578
1019016,1020383,578
1019120,1020383,578
1019847,1020383,2253
1020428,1020383,2800
1020960,1020383,578
1042028,1020383,578
1050956,1020383,578
1018539,1020385,1400
1018539,1020385,12966
1020419,1020385,1400
1020419,1020385,10197
1020419,1020385,12966
1020446,1020385,1400
1020446,1020385,12815
1020507,1020385,1400
1020507,1020385,10348
1020815,1020385,1400
1020815,1020385,14975
1018539,1020419,548
1018539,1020419,12966
1020385,1020419,1400
1020385,1020419,10197
1020385,1020419,12966
1020446,1020419,548
1020446,1020419,12815
1020446,1020419,12966
1020507,1020419,548
1020507,1020419,10348
1020507,1020419,12966
1020815,1020419,548
1020815,1020419,14975
1018488,1020428,334
1018488,1020428,1550
1019581,1020428,2861
1019593,1020428,1218
1019648,1020428,2861
1019833,1020428,2861
1020029,1020428,2861
1020383,1020428,2800
1020596,1020428,2710
1020596,1020428,3926
1020644,1020428,2861
1047265,1020428,2861
1062815,1020428,2861
1088433,1020428,2861
1018539,1020446,456
1018539,1020446,12966
1020385,1020446,1400
1020385,1020446,12815
1020419,1020446,548
1020419,1020446,12815
1020419,1020446,12966
1020507,1020446,456
1020507,1020446,12815
1020507,1020446,15796
1020815,1020446,456
1020815,1020446,3378
1020815,1020446,14975
1018511,1020477,3165
1019580,1020477,8006
1019602,1020477,2557
1020633,1020477,11232
1020851,1020477,2739
1020933,1020477,2557
1020983,1020477,10044
1067955,1020477,2557
1087976,1020477,12601
1018539,1020507,456
1018539,1020507,12966
1020385,1020507,1400
1020385,1020507,10348
1020419,1020507,548
1020419,1020507,10348
1020419,1020507,12966
1020446,1020507,456
1020446,1020507,12815
1020446,1020507,15796
1020815,1020507,456
1020815,1020507,14975
1019833,1020547,3165
1018705,1020562,4018
1018732,1020585,2161
1019847,1020585,2253
1020041,1020585,4230
1020215,1020585,2161
1020329,1020585,2953
1020627,1020585,2953
1020717,1020585,1827
1038768,1020585,2161
1018488,1020596,2710
1018488,1020596,3926
1019581,1020596,2861
1019593,1020596,2710
1019648,1020596,821
1019648,1020596,2861
1019833,1020596,2861
1019847,1020596,821
1020029,1020596,821
1020029,1020596,2861
1020073,1020596,7730
1020428,1020596,2710
1020428,1020596,3926
1020644,1020596,821
1020644,1020596,2861
1047265,1020596,2861
1062815,1020596,821
1062815,1020596,2861
1088433,1020596,2861
1018732,1020627,2741
1018977,1020627,1887
1018980,1020627,2741
1019016,1020627,1887
1019120,1020627,2741
1019183,1020627,2741
1019334,1020627,2131
1019334,1020627,2741
1019541,1020627,2741
1020041,1020627,4230
1020215,1020627,2741
1020329,1020627,1643
1020585,1020627,2953
1020960,1020627,2741
1038768,1020627,1887
1042028,1020627,2892
1042098,1020627,2131
1042098,1020627,2741
1047817,1020627,2741
1018511,1020633,11232
1019580,1020633,11232
1019602,1020633,11232
1020477,1020633,11232
1020851,1020633,11232
1020933,1020633,11232
1020983,1020633,11232
1067955,1020633,11232
1087976,1020633,12601
1018488,1020644,2861
1019581,1020644,2861
1019581,1020644,8675
1019593,1020644,2861
1019648,1020644,821
1019648,1020644,2861
1019648,1020644,8675
1019833,1020644,2861
1019847,1020644,821
1019847,1020644,2861
1020029,1020644,821
1020029,1020644,2861
1020029,1020644,8675
1020428,1020644,2861
1020596,1020644,821
1020596,1020644,2861
1047265,1020644,821
1047265,1020644,2861
1062815,1020644,821
1062815,1020644,2861
1062815,1020644,8675
1088433,1020644,2861
1088433,1020644,8766
1018732,1020717,2161
1019847,1020717,2253
1020215,1020717,2161
1020585,1020717,1827
1038768,1020717,2161
1054408,1020747,1551
1054408,1020747,3257
1019642,1020748,1551
1020943,1020748,1551
1019268,1020751,5023
1019848,1020751,5023
1061577,1020751,5023
1019535,1020805,11719
1019952,1020805,6484
1025410,1020805,12905
1018539,1020815,456
1018539,1020815,14975
1020385,1020815,1400
1020385,1020815,14975
1020419,1020815,548
1020419,1020815,14975
1020446,1020815,456
1020446,1020815,3378
1020446,1020815,14975
1020507,1020815,456
1020507,1020815,14975
1018688,1020820,7640
1018822,1020820,9162
1019395,1020820,7640
1020356,1020820,10897
1021266,1020820,7640
1021040,1020841,15219
1020246,1020844,365
1094736,1020844,3378
1097529,1020844,365
1018511,1020851,3165
1019580,1020851,8006
1019602,1020851,2739
1020477,1020851,2739
1020633,1020851,11232
1020933,1020851,2739
1020983,1020851,10044
1067955,1020851,2739
1087976,1020851,12601
1066769,1020912,4200
1018511,1020933,3165
1019580,1020933,8006
1019602,1020933,2435
1020477,1020933,2557
1020633,1020933,11232
1020851,1020933,2739
1020983,1020933,10044
1067955,1020933,2435
1087976,1020933,12601
1019642,1020943,1551
1020748,1020943,1551
1019628,1020955,2192
1018695,1020960,151
1018695,1020960,2741
1018732,1020960,151
1018732,1020960,2161
1018732,1020960,2741
1018973,1020960,486
1018977,1020960,486
1018977,1020960,2741
1018977,1020960,6908
1018980,1020960,151
1018980,1020960,486
1018980,1020960,2741
