pk,pk,strength
1019593,1062815,2861
1019648,1062815,821
1019648,1062815,2861
1019648,1062815,8675
1019833,1062815,2861
1019847,1062815,821
1019847,1062815,2861
1020029,1062815,821
1020029,1062815,2861
1020029,1062815,8675
1020428,1062815,2861
1047265,1062815,821
1047265,1062815,2861
1088433,1062815,2861
1088433,1062815,8766
1113636,1062815,2861
1134140,1062815,821
1134140,1062815,2861
1134140,1062815,8675
1142018,1062815,821
1142018,1062815,2861
1142018,1062815,8675
1128370,1063637,10836
1018695,1064235,151
1018695,1064235,2253
1018732,1064235,151
1018732,1064235,2741
1018980,1064235,151
1018980,1064235,2741
1019120,1064235,151
1019120,1064235,2741
1019183,1064235,151
1019183,1064235,2741
1019334,1064235,151
1019334,1064235,2741
1019541,1064235,151
1019541,1064235,2741
1020215,1064235,151
1020215,1064235,2741
1042098,1064235,151
1042098,1064235,2741
1047817,1064235,151
1047817,1064235,2741
1097986,1064235,151
1097986,1064235,2741
1113636,1064235,151
1113636,1064235,2284
1134091,1064235,151
1138092,1064235,151
1138092,1064235,2741
1155255,1064235,151
1018511,1067955,2678
1018511,1067955,3165
1019580,1067955,8006
1019602,1067955,943
1019602,1067955,1005
1020477,1067955,2557
1087976,1067955,12601
1139836,1067955,10258
1041526,1069882,9253
1125244,1069882,9253
1139164,1069882,9253
1018511,1087976,12601
1019580,1087976,12601
1019602,1087976,12601
1020477,1087976,12601
1067955,1087976,12601
1139836,1087976,12601
1018488,1088433,2861
1019581,1088433,2861
1019581,1088433,8766
1019593,1088433,2861
1019648,1088433,2861
1019648,1088433,8766
1019833,1088433,2861
1019847,1088433,2861
1020029,1088433,2861
1020029,1088433,8766
1020428,1088433,2861
1047265,1088433,2861
1062815,1088433,2861
1062815,1088433,8766
1113636,1088433,2861
1134140,1088433,2861
1134140,1088433,8766
1142018,1088433,2861
1142018,1088433,8766
1018973,1088477,2922
1019079,1088477,1035
1048610,1095238,31
1053293,1095238,31
1053293,1095238,15311
1054534,1095238,31
1020246,1097529,365
1020246,1097529,6818
1019593,1097935,1551
1018695,1097986,151
1018695,1097986,2741
1018732,1097986,151
1018732,1097986,2161
1018732,1097986,2741
1018973,1097986,486
1018977,1097986,486
1018977,1097986,2741
1018977,1097986,6908
1018980,1097986,151
1018980,1097986,486
1018980,1097986,2741
1018980,1097986,9618
1019016,1097986,486
1019016,1097986,2741
1019016,1097986,6515
1019120,1097986,151
1019120,1097986,486
1019120,1097986,2741
1019120,1097986,6543
1019183,1097986,151
1019183,1097986,486
1019183,1097986,2741
1019334,1097986,151
1019334,1097986,2741
1019541,1097986,151
1019541,1097986,486
1019541,1097986,2741
1020215,1097986,151
1020215,1097986,2161
1020215,1097986,2741
1020383,1097986,578
1038768,1097986,2161
1038768,1097986,2741
1042028,1097986,486
1042028,1097986,2892
1042028,1097986,6515
1042098,1097986,151
1042098,1097986,2741
1047817,1097986,151
1047817,1097986,486
1047817,1097986,2741
1050956,1097986,486
1064235,1097986,151
1064235,1097986,2741
1112521,1097986,486
1112521,1097986,2741
1112521,1097986,9100
1113636,1097986,151
1113636,1097986,2741
1134091,1097986,151
1138092,1097986,151
1138092,1097986,486
1138092,1097986,2741
1138092,1097986,6515
1155255,1097986,151
1109350,1107158,3318
1107158,1109350,3318
1018732,1112521,2161
1018732,1112521,2741
1018973,1112521,486
1018977,1112521,486
1018977,1112521,1706
1018977,1112521,9100
1018980,1112521,486
1018980,1112521,2741
1018980,1112521,9618
1019016,1112521,486
1019016,1112521,1280
1019016,1112521,9100
1019120,1112521,486
1019120,1112521,2741
1019120,1112521,9100
1019183,1112521,486
1019183,1112521,2741
1019334,1112521,2741
1019541,1112521,486
1019541,1112521,2741
1020215,1112521,2161
1020215,1112521,2741
1020383,1112521,578
1038768,1112521,1280
1038768,1112521,2161
1042028,1112521,486
1042028,1112521,2892
1042028,1112521,9100
1042098,1112521,2741
1047817,1112521,486
1047817,1112521,2741
1050956,1112521,486
1097986,1112521,486
1097986,1112521,2741
1097986,1112521,9100
1138092,1112521,486
1138092,1112521,2741
1138092,1112521,9100
1018488,1113636,426
1018695,1113636,151
1018695,1113636,2284
1018732,1113636,151
1018732,1113636,2741
1018980,1113636,151
1018980,1113636,2741
1019120,1113636,151
1019120,1113636,2741
1019183,1113636,151
1019183,1113636,2741
1019334,1113636,151
1019334,1113636,2741
1019541,1113636,151
1019541,1113636,2741
1019581,1113636,2861
1019593,1113636,1218
1019648,1113636,2861
1019833,1113636,2861
1020029,1113636,2861
1020215,1113636,151
1020215,1113636,2741
1020428,1113636,426
1042098,1113636,151
1042098,1113636,2741
1047265,1113636,2861
1047265,1113636,4200
1047817,1113636,151
1047817,1113636,2741
1062815,1113636,2861
1064235,1113636,151
1064235,1113636,2284
1088433,1113636,2861
1097986,1113636,151
1097986,1113636,2741
1134091,1113636,151
1134140,1113636,2861
1138092,1113636,151
1138092,1113636,2741
1142018,1113636,2861
1155255,1113636,151
1041526,1125244,8644
1069882,1125244,9253
1139164,1125244,8644
1063637,1128370,10836
1020041,1133969,4230
1020329,1133969,2739
1018695,1134091,151
1018732,1134091,151
1018980,1134091,151
1019120,1134091,151
1019183,1134091,151
1019334,1134091,151
1019541,1134091,151
1020215,1134091,151
1042098,1134091,151
1047817,1134091,151
1064235,1134091,151
1097986,1134091,151
1113636,1134091,151
1138092,1134091,151
1155255,1134091,151
1018488,1134140,2861
1019581,1134140,2861
1019581,1134140,8675
1019593,1134140,2861
1019648,1134140,821
1019648,1134140,2861
1019648,1134140,8675
1019833,1134140,2861
1019847,1134140,821
1019847,1134140,2861
1020029,1134140,821
1020029,1134140,2861
1020029,1134140,8675
1020428,1134140,2861
1047265,1134140,821
1047265,1134140,2861
1062815,1134140,821
1062815,1134140,2861
1062815,1134140,8675
1088433,1134140,2861
1088433,1134140,8766
1113636,1134140,2861
1142018,1134140,821
1142018,1134140,2861
1142018,1134140,8675
1019535,1134585,11719
1019952,1134585,6484
1025410,1134585,12905
1158289,1134585,335
1158289,1134585,2769
1018695,1138092,151
1018695,1138092,2741
1018732,1138092,151
1018732,1138092,2161
1018732,1138092,2741
1018973,1138092,486
1018977,1138092,486
1018977,1138092,2741
